full_name,age,birthday_GMT,league,season,position,Current Club,minutes_played_overall,nationality,goals_overall,assists_overall,market_value_in_eur
Fabinho,29,1993/10/23,Premier League,2018/2019,Midfielder,Liverpool,2013,Brazil,1,2,275000.0
Federico Fernández,33,1989/02/21,Premier League,2018/2019,Defender,Newcastle United,1484,Argentina,0,1,7000000.0
Felipe Anderson,29,1993/04/15,Premier League,2018/2019,Midfielder,West Ham United,3054,Brazil,9,4,40000000.0
Fernandinho,37,1985/05/04,Premier League,2018/2019,Midfielder,Manchester City,2381,Brazil,1,3,12000000.0
Fernandinho,37,1985/05/04,Premier League,2018/2019,Midfielder,Manchester City,2381,Brazil,1,3,75000.0
Florent Hadergjonaj,28,1994/07/31,Premier League,2018/2019,Defender,Huddersfield Town,1840,Switzerland,0,0,7000000.0
Florian Lejeune,31,1991/05/20,Premier League,2018/2019,Defender,Newcastle United,1055,France,0,0,8000000.0
Florin Andone,29,1993/04/11,Premier League,2018/2019,Forward,Brighton & Hove Albion,874,Romania,3,0,6000000.0
Floyd Ayité,33,1988/12/15,Premier League,2018/2019,Midfielder,Fulham,465,Togo,1,0,2500000.0
Fousseni Diabaté,27,1995/10/18,Premier League,2018/2019,Midfielder,Leicester City,55,Mali,0,0,3000000.0
Fraser Forster,34,1988/03/17,Premier League,2018/2019,Goalkeeper,Southampton,90,England,0,0,8000000.0
Fred,29,1993/03/05,Premier League,2018/2019,Midfielder,Manchester United,1045,Brazil,1,1,30000000.0
Freddie Woodman,25,1997/03/04,Premier League,2018/2019,Goalkeeper,Newcastle United,0,England,0,0,500000.0
Gabriel Jesus,25,1997/04/03,Premier League,2018/2019,Forward,Manchester City,1019,Brazil,7,3,70000000.0
Gary Cahill,36,1985/12/19,Premier League,2018/2019,Defender,Chelsea,22,England,0,0,8000000.0
Gary Madine,32,1990/08/24,Premier League,2018/2019,Forward,Cardiff City,32,England,0,0,4000000.0
Georginio Wijnaldum,31,1990/11/11,Premier League,2018/2019,Midfielder,Liverpool,2735,Netherlands,3,0,50000000.0
Gerard Deulofeu,28,1994/03/13,Premier League,2018/2019,Forward,Watford,2082,Spain,10,5,25000000.0
Glenn Murray,39,1983/09/25,Premier League,2018/2019,Forward,Brighton & Hove Albion,2513,England,13,1,3000000.0
Grady Diangana,24,1998/04/19,Premier League,2018/2019,Midfielder,West Ham United,604,England,0,1,5000000.0
Granit Xhaka,30,1992/09/27,Premier League,2018/2019,Midfielder,Arsenal,2502,Switzerland,4,2,45000000.0
Greg Cunningham,31,1991/01/31,Premier League,2018/2019,Defender,Cardiff City,630,Republic of Ireland,0,0,3000000.0
Gylfi Sigurdsson,33,1989/09/08,Premier League,2018/2019,Midfielder,Everton,3134,Iceland,13,6,35000000.0
Hamza Choudhury,25,1997/10/01,Premier League,2018/2019,Midfielder,Leicester City,596,England,0,0,5000000.0
Harry Arter,32,1989/12/28,Premier League,2018/2019,Midfielder,Cardiff City,2008,Republic of Ireland,0,1,7000000.0
Harry Kane,29,1993/07/28,Premier League,2018/2019,Forward,Tottenham Hotspur,2427,England,17,4,150000000.0
Harry Maguire,29,1993/03/05,Premier League,2018/2019,Defender,Leicester City,2599,England,3,0,50000000.0
Harry Winks,26,1996/02/02,Premier League,2018/2019,Midfielder,Tottenham Hotspur,1591,England,1,0,25000000.0
Harvey Barnes,24,1997/12/09,Premier League,2018/2019,Midfielder,Leicester City,1007,England,1,2,12000000.0
Henrikh Mkhitaryan,33,1989/01/21,Premier League,2018/2019,Midfielder,Arsenal,1643,Armenia,6,4,25000000.0
Hugo Lloris,35,1986/12/26,Premier League,2018/2019,Goalkeeper,Tottenham Hotspur,2970,France,0,0,25000000.0
Ibrahima Cissé,28,1994/02/28,Premier League,2018/2019,Midfielder,Fulham,87,Belgium,0,0,1500000.0
Idrissa Gueye,33,1989/09/26,Premier League,2018/2019,Midfielder,Everton,2825,Senegal,0,2,25000000.0
İlkay Gündoğan,32,1990/10/24,Premier League,2018/2019,Midfielder,Manchester City,2135,Germany,6,3,50000000.0
Isaac Hayden,27,1995/03/22,Premier League,2018/2019,Midfielder,Newcastle United,1886,England,1,4,8000000.0
Isaac Mbenza,26,1996/03/08,Premier League,2018/2019,Forward,Huddersfield Town,981,Belgium,1,1,5000000.0
Isaac Success,26,1996/01/07,Premier League,2018/2019,Forward,Watford,1037,Nigeria,1,1,5000000.0
Issa Diop,25,1997/01/09,Premier League,2018/2019,Defender,West Ham United,2970,France,1,0,35000000.0
Jack Cork,33,1989/06/25,Premier League,2018/2019,Midfielder,Burnley,3313,England,1,2,15000000.0
Jack Simpson,25,1996/12/18,Premier League,2018/2019,Defender,AFC Bournemouth,403,England,0,0,1500000.0
Jack Stephens,28,1994/01/27,Premier League,2018/2019,Defender,Southampton,1697,England,1,0,8000000.0
Jack Wilshere,30,1992/01/01,Premier League,2018/2019,Midfielder,West Ham United,389,England,0,1,10000000.0
Jacob Murphy,27,1995/02/24,Premier League,2018/2019,Midfielder,Newcastle United,300,England,0,1,6000000.0
Jamaal Lascelles,28,1993/11/11,Premier League,2018/2019,Defender,Newcastle United,2748,England,0,1,15000000.0
James Maddison,25,1996/11/23,Premier League,2018/2019,Midfielder,Leicester City,2850,England,7,7,40000000.0
James McArthur,35,1987/10/07,Premier League,2018/2019,Midfielder,Crystal Palace,3071,Scotland,3,6,7000000.0
James McCarthy,31,1990/11/12,Premier League,2018/2019,Midfielder,Everton,14,Republic of Ireland,0,0,5000000.0
James Milner,36,1986/01/04,Premier League,2018/2019,Midfielder,Liverpool,1785,England,5,4,15000000.0
James Tarkowski,29,1992/11/19,Premier League,2018/2019,Defender,Burnley,3087,England,3,1,18000000.0
James Tomkins,33,1989/03/29,Premier League,2018/2019,Defender,Crystal Palace,2563,England,1,1,8000000.0
James Ward-Prowse,27,1994/11/01,Premier League,2018/2019,Midfielder,Southampton,1942,England,7,0,18000000.0
Jamie Vardy,35,1987/01/11,Premier League,2018/2019,Forward,Leicester City,2735,England,18,4,20000000.0
Jan Bednarek,26,1996/04/12,Premier League,2018/2019,Defender,Southampton,2151,Poland,0,1,15000000.0
Jan Vertonghen,35,1987/04/24,Premier League,2018/2019,Defender,Tottenham Hotspur,1915,Belgium,1,0,28000000.0
Jannik Vestergaard,30,1992/08/03,Premier League,2018/2019,Defender,Southampton,2030,Denmark,0,0,20000000.0
Jason Puncheon,36,1986/06/26,Premier League,2018/2019,Midfielder,Huddersfield Town,391,England,0,0,3000000.0
Jason Steele,32,1990/08/18,Premier League,2018/2019,Goalkeeper,Brighton & Hove Albion,0,England,0,0,750000.0
Javier Manquillo,28,1994/05/05,Premier League,2018/2019,Defender,Newcastle United,1097,Spain,0,3,5000000.0
Jazz Richards,31,1991/04/12,Premier League,2018/2019,Defender,Cardiff City,128,Wales,0,0,750000.0
Jeff Hendrick,30,1992/01/31,Premier League,2018/2019,Midfielder,Burnley,2069,Republic of Ireland,3,0,10000000.0
Jefferson Lerma,28,1994/10/25,Premier League,2018/2019,Midfielder,AFC Bournemouth,2511,Colombia,2,0,25000000.0
Jeffrey Schlupp,29,1992/12/23,Premier League,2018/2019,Defender,Crystal Palace,1665,Ghana,4,1,10000000.0
Jesse Lingard,29,1992/12/15,Premier League,2018/2019,Midfielder,Manchester United,1668,England,4,2,40000000.0
João Moutinho,36,1986/09/08,Premier League,2018/2019,Midfielder,Wolverhampton Wanderers,3040,Portugal,1,8,500000.0
João Moutinho,36,1986/09/08,Premier League,2018/2019,Midfielder,Wolverhampton Wanderers,3040,Portugal,1,8,10000000.0
Joe Bennett,32,1990/03/28,Premier League,2018/2019,Defender,Cardiff City,2641,England,0,1,3000000.0
Joe Bryan,29,1993/09/17,Premier League,2018/2019,Defender,Fulham,2350,England,0,1,6000000.0
Joe Gomez,25,1997/05/23,Premier League,2018/2019,Defender,Liverpool,1060,England,0,0,35000000.0
Joe Hart,35,1987/04/19,Premier League,2018/2019,Goalkeeper,Burnley,1710,England,0,0,6000000.0
Joe Ralls,29,1993/10/13,Premier League,2018/2019,Midfielder,Cardiff City,1959,England,0,0,5000000.0
Joel Coleman,27,1995/09/26,Premier League,2018/2019,Goalkeeper,Huddersfield Town,90,England,0,0,500000.0
Joel Matip,31,1991/08/08,Premier League,2018/2019,Defender,Liverpool,1532,Cameroon,1,0,30000000.0
Joel Ward,32,1989/10/29,Premier League,2018/2019,Defender,Crystal Palace,551,England,1,0,4000000.0
John Ruddy,36,1986/10/24,Premier League,2018/2019,Goalkeeper,Wolverhampton Wanderers,90,England,0,0,3000000.0
John Stones,28,1994/05/28,Premier League,2018/2019,Defender,Manchester City,1762,England,0,0,60000000.0
Jonas Lössl,33,1989/02/01,Premier League,2018/2019,Goalkeeper,Huddersfield Town,2777,Denmark,0,1,5000000.0
Jonathan Hogg,33,1988/12/06,Premier League,2018/2019,Midfielder,Huddersfield Town,2377,England,0,1,3500000.0
Jonjo Shelvey,30,1992/02/27,Premier League,2018/2019,Midfielder,Newcastle United,944,England,1,1,15000000.0
Jonjoe Kenny,25,1997/03/15,Premier League,2018/2019,Defender,Everton,790,England,0,1,5000000.0
Jonny Evans,34,1988/01/03,Premier League,2018/2019,Defender,Leicester City,1995,Northern Ireland,1,0,10000000.0
Jordan Ayew,31,1991/09/11,Premier League,2018/2019,Forward,Crystal Palace,1186,Ghana,1,2,8000000.0
Jordan Henderson,32,1990/06/17,Premier League,2018/2019,Midfielder,Liverpool,1983,England,1,3,35000000.0
Jordan Pickford,28,1994/03/07,Premier League,2018/2019,Goalkeeper,Everton,3420,England,0,0,40000000.0
Jordon Ibe,26,1995/12/08,Premier League,2018/2019,Midfielder,AFC Bournemouth,795,England,1,1,8000000.0
